researcher,speaker,trial,typicality,colour_en,object_en,trial_number
Anya,JN,27,typical,yellow,lemon,1
Sasha,JN,32,typical,green,beans,1
Sasha,JN,34,medium,green,tomato,1
Anya,JN,37,medium,yellow,peas,2
Sasha,JN,39,atypical,green,carrots,2
Margaux,JN,40,typical,red,strawberry,2
Margaux,JN,45,medium,red,apricot,2
Margaux,JN,48,typical,brown,walnut,2
Garik,JN,50,atypical,orange,grapes,2
Margaux,JN,52,atypical,red,cucumber,2
Margaux,JN,54,medium,brown,banana,2
Margaux,JN,56,atypical,brown,pepper,2
Garik,JN,57,typical,orange,mandarine,2
Anya,JN,59,atypical,yellow,cherry,2
Garik,JN,61,medium,orange,potatoes,2
Anya,JN,62,typical,yellow,lemon,2
Sasha,JN,67,typical,green,beans,2
Sasha,JN,69,medium,green,tomato,2
Margaux,JR,2,atypical,brown,pepper,1
Garik,JR,3,medium,orange,potatoes,1
Sasha,JR,5,typical,green,beans,1
Anya,JR,7,typical,yellow,lemon,1
Margaux,JR,8,medium,brown,banana,1
Garik,JR,10,typical,orange,mandarine,1
Anya,JR,12,atypical,yellow,cherry,1
Sasha,JR,15,atypical,green,carrots,1
Anya,JR,20,medium,yellow,peas,1
Margaux,JR,23,atypical,red,cucumber,1
Margaux,JR,25,typical,red,strawberry,1
Garik,JR,28,atypical,orange,grapes,1
Sasha,JR,30,medium,green,tomato,1
Margaux,JR,33,medium,red,apricot,1
Margaux,JR,35,typical,brown,walnut,1
Margaux,JR,37,atypical,brown,pepper,2
Garik,JR,38,medium,orange,potatoes,2
Sasha,JR,40,typical,green,beans,2
Anya,JR,42,typical,yellow,lemon,2
Margaux,JR,43,medium,brown,banana,2
Garik,JR,45,typical,orange,mandarine,2
Anya,JR,47,atypical,yellow,cherry,2
Sasha,JR,50,atypical,green,carrots,2
Anya,JR,55,medium,yellow,peas,2
Margaux,JR,58,atypical,red,cucumber,2
Margaux,JR,60,typical,red,strawberry,2
Garik,JR,63,atypical,orange,grapes,2
Sasha,JR,65,medium,green,tomato,2
Margaux,JR,68,medium,red,apricot,2
Margaux,JR,70,typical,brown,walnut,2
Sasha,JW_2,6,typical,green,beans,1
Sasha,JW_2,8,typical,brown,walnut,1
Sasha,JW_2,11,atypical,brown,pepper,1
Margaux,JW_2,12,typical,red,strawberry,1
Anya,JW_2,16,typical,yellow,lemon,1
Sasha,JW_2,19,medium,brown,banana,1
Garik,JW_2,20,medium,orange,potatoes,1
Sasha,JW_2,22,atypical,green,carrots,1
Anya,JW_2,23,atypical,yellow,cherry,1
Garik,JW_2,25,atypical,orange,grapes,1
Margaux,JW_2,28,atypical,red,cucumber,1
Garik,JW_2,30,typical,orange,mandarine,1
